TeamRow1,LessThan5_FG,TeamRow2,Five_Nine_FG,TeamRow3,Ten_Fourteen_FG,TeamRow4,Fifteen_Nineteen_FG,TeamRow5,Twenty_TwentyFour_FG,TeamRow6,TwentyFive_TwentyNine_FG
Bucks,66.1,Suns,50.4,Suns,50.6,Suns,48.6,Clippers,45,Jazz,39.7
Heat,65.6,Nuggets,47.3,Kings,49.7,Nets,46.2,Suns,42.6,Clippers,39.4
Mavericks,65.5,Nets,46,Nets,48.5,76ers,46.1,Nuggets,42,Blazers,39.1
Suns,65.3,Jazz,45.1,Mavericks,47.6,Hawks,44.9,Bucks,42,Nets,38.7
Wizards,65.2,Wizards,44.8,76ers,46.8,Pelicans,44.7,Knicks,41.8,Bucks,38.6
Warriors,64.8,Bulls,44.5,Clippers,46.3,Mavericks,44.6,Nets,40.9,Knicks,37.4
Nuggets,64.7,Mavericks,44.3,Bucks,46.2,Spurs,44.5,76ers,40.4,Raptors,37.2
Kings,64.5,Grizzlies,43.8,Hawks,45.8,Blazers,44.1,Celtics,40.4,Warriors,36.9
Lakers,64.5,Kings,43.4,Jazz,45.3,Nuggets,44,Kings,40.3,Celtics,36.7
Celtics,64.1,Lakers,44.3,Grizzlies,45,Bulls,43.1,Hawks,40,76ers,36.6
